observation_date,TSITTL
2000-01-01,102.0
2000-02-01,101.4
2000-03-01,99.6
2000-04-01,98.5
2000-05-01,100.0
2000-06-01,100.1
2000-07-01,98.4
2000-08-01,99.6
2000-09-01,100.9
2000-10-01,100.2
2000-11-01,100.6
2000-12-01,98.7
2001-01-01,99.9
2001-02-01,99.8
2001-03-01,100.0
2001-04-01,99.0
2001-05-01,100.1
2001-06-01,99.5
2001-07-01,98.7
2001-08-01,100.0
2001-09-01,93.6
2001-10-01,94.9
2001-11-01,95.1
2001-12-01,95.6
2002-01-01,96.6
2002-02-01,98.0
2002-03-01,97.0
2002-04-01,97.9
2002-05-01,98.8
2002-06-01,99.1
2002-07-01,99.9
2002-08-01,99.8
2002-09-01,100.1
2002-10-01,101.1
2002-11-01,101.8
2002-12-01,101.8
2003-01-01,101.4
2003-02-01,100.8
2003-03-01,100.6
2003-04-01,99.8
2003-05-01,99.5
2003-06-01,99.8
2003-07-01,101.4
2003-08-01,101.1
2003-09-01,102.3
2003-10-01,103.5
2003-11-01,103.6
2003-12-01,105.8
2004-01-01,105.1
2004-02-01,105.8
2004-03-01,107.9
2004-04-01,108.2
2004-05-01,108.1
2004-06-01,108.9
2004-07-01,108.8
2004-08-01,108.2
2004-09-01,108.6
2004-10-01,109.5
2004-11-01,109.9
2004-12-01,110.2
2005-01-01,112.0
2005-02-01,111.5
2005-03-01,111.1
2005-04-01,111.8
2005-05-01,111.4
2005-06-01,111.0
2005-07-01,111.0
2005-08-01,111.3
2005-09-01,110.9
2005-10-01,110.2
2005-11-01,112.4
2005-12-01,111.1
2006-01-01,111.8
2006-02-01,111.1
2006-03-01,111.5
2006-04-01,111.1
2006-05-01,112.7
2006-06-01,112.5
2006-07-01,111.5
2006-08-01,109.6
2006-09-01,112.3
2006-10-01,110.8
2006-11-01,109.6
2006-12-01,111.2
2007-01-01,110.9
2007-02-01,111.3
2007-03-01,112.5
2007-04-01,111.4
2007-05-01,111.8
2007-06-01,111.3
2007-07-01,110.5
2007-08-01,111.4
2007-09-01,111.3
2007-10-01,112.6
2007-11-01,112.4
2007-12-01,112.2
2008-01-01,114.2
2008-02-01,112.5
2008-03-01,111.5
2008-04-01,113.2
2008-05-01,113.0
2008-06-01,111.7
2008-07-01,112.6
2008-08-01,110.8
2008-09-01,108.7
2008-10-01,108.8
2008-11-01,106.2
2008-12-01,103.4
2009-01-01,101.7
2009-02-01,103.9
2009-03-01,99.4
2009-04-01,99.5
2009-05-01,98.7
2009-06-01,99.9
2009-07-01,101.7
2009-08-01,102.6
2009-09-01,102.7
2009-10-01,101.8
2009-11-01,103.2
2009-12-01,104.2
2010-01-01,105.2
2010-02-01,106.2
2010-03-01,107.0
2010-04-01,107.2
2010-05-01,107.7
2010-06-01,108.1
2010-07-01,108.4
2010-08-01,108.4
2010-09-01,109.0
2010-10-01,109.7
2010-11-01,109.2
2010-12-01,109.8
2011-01-01,111.0
2011-02-01,110.4
2011-03-01,111.6
2011-04-01,111.1
2011-05-01,110.3
2011-06-01,111.4
2011-07-01,111.5
2011-08-01,111.1
2011-09-01,112.1
2011-10-01,112.5
2011-11-01,112.7
2011-12-01,114.9
2012-01-01,112.4
2012-02-01,113.1
2012-03-01,112.8
2012-04-01,112.8
2012-05-01,113.3
2012-06-01,113.8
2012-07-01,113.5
2012-08-01,113.3
2012-09-01,112.9
2012-10-01,111.1
2012-11-01,112.7
2012-12-01,113.1
2013-01-01,115.0
2013-02-01,116.2
2013-03-01,115.4
2013-04-01,115.3
2013-05-01,115.8
2013-06-01,116.4
2013-07-01,116.0
2013-08-01,116.5
2013-09-01,116.5
2013-10-01,116.5
2013-11-01,118.6
2013-12-01,117.1
2014-01-01,116.3
2014-02-01,117.9
2014-03-01,119.6
2014-04-01,119.9
2014-05-01,120.3
2014-06-01,119.1
2014-07-01,119.8
2014-08-01,120.0
2014-09-01,120.9
2014-10-01,121.2
2014-11-01,121.7
2014-12-01,121.9
2015-01-01,121.6
2015-02-01,120.9
2015-03-01,122.0
2015-04-01,121.3
2015-05-01,121.4
2015-06-01,121.4
2015-07-01,122.7
2015-08-01,122.8
2015-09-01,123.0
2015-10-01,122.9
2015-11-01,121.3
2015-12-01,121.6
2016-01-01,122.5
2016-02-01,122.2
2016-03-01,121.1
2016-04-01,122.9
2016-05-01,122.6
2016-06-01,123.4
2016-07-01,124.5
2016-08-01,123.2
2016-09-01,123.0
2016-10-01,123.0
2016-11-01,123.5
2016-12-01,124.4
2017-01-01,124.6
2017-02-01,124.7
2017-03-01,124.9
2017-04-01,125.5
2017-05-01,125.9
2017-06-01,125.7
2017-07-01,127.6
2017-08-01,128.0
2017-09-01,127.3
2017-10-01,129.0
2017-11-01,130.2
2017-12-01,131.1
2018-01-01,130.0
2018-02-01,132.2
2018-03-01,132.8
2018-04-01,133.0
2018-05-01,133.9
2018-06-01,134.6
2018-07-01,133.7
2018-08-01,134.2
2018-09-01,135.1
2018-10-01,136.4
2018-11-01,136.0
2018-12-01,134.9
2019-01-01,135.0
2019-02-01,134.6
2019-03-01,135.5
2019-04-01,135.8
2019-05-01,136.1
2019-06-01,135.6
2019-07-01,136.9
2019-08-01,138.8
2019-09-01,136.4
2019-10-01,136.2
2019-11-01,136.1
2019-12-01,135.5
2020-01-01,135.9
2020-02-01,135.2
2020-03-01,109.1
2020-04-01,81.0
2020-05-01,83.7
2020-06-01,87.6
2020-07-01,92.0
2020-08-01,94.8
2020-09-01,98.4
2020-10-01,98.1
2020-11-01,101.1
2020-12-01,102.2
2021-01-01,105.1
2021-02-01,103.8
2021-03-01,104.4
2021-04-01,107.2
2021-05-01,109.7
2021-06-01,111.4
2021-07-01,112.8
2021-08-01,112.3
2021-09-01,113.6
2021-10-01,115.2
2021-11-01,118.2
2021-12-01,118.6
2022-01-01,116.8
2022-02-01,120.4
2022-03-01,121.7
2022-04-01,122.1
2022-05-01,122.2
2022-06-01,122.7
2022-07-01,121.9
2022-08-01,123.5
2022-09-01,125.1
2022-10-01,124.3
2022-11-01,123.1
2022-12-01,123.5
2023-01-01,126.6
2023-02-01,127.7
2023-03-01,126.3
2023-04-01,126.3
2023-05-01,126.7
2023-06-01,126.6
2023-07-01,127.5
2023-08-01,127.7
2023-09-01,128.8
2023-10-01,128.7
2023-11-01,128.7
2023-12-01,129.7
2024-01-01,127.7
2024-02-01,129.0
2024-03-01,129.3
2024-04-01,128.3
2024-05-01,130.8
2024-06-01,131.1
2024-07-01,129.7
2024-08-01,130.9
2024-09-01,130.3
2024-10-01,130.9
2024-11-01,130.4
2024-12-01,130.6
2025-01-01,130.6
2025-02-01,129.8
2025-03-01,130.9
2025-04-01,130.9
